dataset,field_id,type,description,coverage,alphaCount,userCount
model53,annualized_pd_10_year,MATRIX,Annualized probability of default over a 10-year horizon.,0.8563,20,15
model53,annualized_pd_10_year_jc5,MATRIX,Annualized probability of default over a 10-year horizon using JC5 model.,0.9185,21,20
model53,annualized_pd_10_year_jc7,MATRIX,Annualized probability of default over a 10-year horizon using JC7 model.,0.8792,68,51
model53,annualized_pd_10_year_jm5,MATRIX,Annualized probability of default over a 10-year horizon using JM5 model.,0.9185,11,8
model53,annualized_pd_10_year_ms5,MATRIX,Annualized probability of default over a 10-year horizon using MS5 model.,0.9216,9,9
model53,annualized_pd_1_month,MATRIX,Annualized probability of default over a 1-month horizon.,0.8563,10,8
model53,annualized_pd_1_month_jc5,MATRIX,Annualized probability of default over a 1-month horizon using JC5 model.,0.9185,18,16
model53,annualized_pd_1_month_jc7,MATRIX,Annualized probability of default over a 1-month horizon using JC7 model.,0.8792,20,17
model53,annualized_pd_1_month_jm5,MATRIX,Annualized probability of default over a 1-month horizon using JM5 model.,0.9185,4,4
model53,annualized_pd_1_month_ms5,MATRIX,Annualized probability of default over a 1-month horizon using MS5 model.,0.9216,6,4
model53,annualized_pd_1_year,MATRIX,Annualized probability of default over a 1-year horizon.,0.8563,4,4
model53,annualized_pd_1_year_jc5,MATRIX,Annualized probability of default over a 1-year horizon using JC5 model.,0.9185,11,11
model53,annualized_pd_1_year_jc7,MATRIX,Annualized probability of default over a 1-year horizon using JC7 model.,0.8792,18,13
model53,annualized_pd_1_year_jm5,MATRIX,Annualized probability of default over a 1-year horizon using JM5 model.,0.9185,7,7
model53,annualized_pd_1_year_ms5,MATRIX,Annualized probability of default over a 1-year horizon using MS5 model.,0.9216,18,13
model53,annualized_pd_2_year,MATRIX,Annualized probability of default over a 2-year horizon.,0.8563,6,6
model53,annualized_pd_2_year_jc5,MATRIX,Annualized probability of default over a 2-year horizon using JC5 model.,0.9185,18,16
model53,annualized_pd_2_year_jc7,MATRIX,Annualized probability of default over a 2-year horizon using JC7 model.,0.8792,36,33
model53,annualized_pd_2_year_jm5,MATRIX,Annualized probability of default over a 2-year horizon using JM5 model.,0.9185,6,6
model53,annualized_pd_2_year_ms5,MATRIX,Annualized probability of default over a 2-year horizon using MS5 model.,0.9216,12,8
model53,annualized_pd_3_month,MATRIX,Annualized probability of default over a 3-month horizon.,0.8563,4,4
model53,annualized_pd_3_month_jc5,MATRIX,Annualized probability of default over a 3-month horizon using JC5 model.,0.9185,19,18
model53,annualized_pd_3_month_jc7,MATRIX,Annualized probability of default over a 3-month horizon using JC7 model.,0.8792,14,10
model53,annualized_pd_3_month_jm5,MATRIX,Annualized probability of default over a 3-month horizon using JM5 model.,0.9185,5,3
model53,annualized_pd_3_month_ms5,MATRIX,Annualized probability of default over a 3-month horizon using MS5 model.,0.9216,9,7
model53,annualized_pd_3_year,MATRIX,Annualized probability of default over a 3-year horizon.,0.8563,8,6
model53,annualized_pd_3_year_jc5,MATRIX,Annualized probability of default over a 3-year horizon using JC5 model.,0.9185,6,5
model53,annualized_pd_3_year_jc7,MATRIX,Annualized probability of default over a 3-year horizon using JC7 model.,0.8792,44,39
model53,annualized_pd_3_year_jm5,MATRIX,Annualized probability of default over a 3-year horizon using JM5 model.,0.9185,4,4
model53,annualized_pd_3_year_ms5,MATRIX,Annualized probability of default over a 3-year horizon using MS5 model.,0.9216,3,2
model53,annualized_pd_4_year,MATRIX,Annualized probability of default over a 4-year horizon.,0.8563,6,6
model53,annualized_pd_4_year_jc5,MATRIX,Annualized probability of default over a 4-year horizon using JC5 model.,0.9185,3,3
model53,annualized_pd_4_year_jc7,MATRIX,Annualized probability of default over a 4-year horizon using JC7 model.,0.8792,35,31
model53,annualized_pd_4_year_jm5,MATRIX,Annualized probability of default over a 4-year horizon using JM5 model.,0.9185,6,5
model53,annualized_pd_4_year_ms5,MATRIX,Annualized probability of default over a 4-year horizon using MS5 model.,0.9216,2,2
model53,annualized_pd_5_year,MATRIX,Annualized probability of default over a 5-year horizon.,0.8563,10,9
model53,annualized_pd_5_year_jc5,MATRIX,Annualized probability of default over a 5-year horizon using JC5 model.,0.9185,13,8
model53,annualized_pd_5_year_jc7,MATRIX,Annualized probability of default over a 5-year horizon using JC7 model.,0.8792,30,28
model53,annualized_pd_5_year_jm5,MATRIX,Annualized probability of default over a 5-year horizon using JM5 model.,0.9185,3,3
model53,annualized_pd_5_year_ms5,MATRIX,Annualized probability of default over a 5-year horizon using MS5 model.,0.9216,7,7
model53,annualized_pd_6_month,MATRIX,Annualized probability of default over a 6-month horizon.,0.8563,0,0
model53,annualized_pd_6_month_jc5,MATRIX,Annualized probability of default over a 6-month horizon using JC5 model.,0.9185,3,3
model53,annualized_pd_6_month_jc7,MATRIX,Annualized probability of default over a 6-month horizon using JC7 model.,0.8792,7,6
model53,annualized_pd_6_month_jm5,MATRIX,Annualized probability of default over a 6-month horizon using JM5 model.,0.9185,2,2
model53,annualized_pd_6_month_ms5,MATRIX,Annualized probability of default over a 6-month horizon using MS5 model.,0.9216,4,3
model53,annualized_pd_7_year,MATRIX,Annualized probability of default over a 7-year horizon.,0.8563,3,3
model53,annualized_pd_7_year_jc5,MATRIX,Annualized probability of default over a 7-year horizon using JC5 model.,0.9185,3,3
model53,annualized_pd_7_year_jc7,MATRIX,Annualized probability of default over a 7-year horizon using JC7 model.,0.8792,28,26
model53,annualized_pd_7_year_jm5,MATRIX,Annualized probability of default over a 7-year horizon using JM5 model.,0.9185,3,3
model53,annualized_pd_7_year_ms5,MATRIX,Annualized probability of default over a 7-year horizon using MS5 model.,0.9216,4,3
model53,expected_rating_value,MATRIX,Expected value of the credit rating based on probability distribution.,0.7936,9,9
model53,implied_credit_spread_array,MATRIX,Array of credit spreads implied by model for various maturities.,0.9179,36,29
model53,mdl53_implied_ratings,MATRIX,"implied ratings modeling using ratings of Standard & Poor's as reported by S&P affiliate others, supplemented by a file with daily changes in ratings by Standard & Poor's",0.5,1887,255
model53,mdl53_implied_spreads,MATRIX,"Model-implied credit spread level for the issuer on the given date, typically expressed in basis points",0.9641,801,219
model53,mdl53_jc5_10year,MATRIX,Annualized default probability at the 10-year horizon (percentage),0.965,1106,245
model53,mdl53_jc5_1month,MATRIX,Annualized default probability at the 1-month horizon (percentage),0.965,493,120
model53,mdl53_jc5_1year,MATRIX,Annualized default probability at the 1-year horizon (percentage),0.965,903,255
model53,mdl53_jc5_2year,MATRIX,Annualized default probability at the 2-year horizon (percentage),0.965,423,155
model53,mdl53_jc5_3month,MATRIX,Annualized default probability at the 3-month horizon (percentage),0.965,869,134
model53,mdl53_jc5_3year,MATRIX,Annualized default probability at the 3-year horizon (percentage),0.965,540,108
model53,mdl53_jc5_4year,MATRIX,Annualized default probability at the 4-year horizon (percentage),0.965,324,130
model53,mdl53_jc5_5year,MATRIX,Annualized default probability at the 5-year horizon (percentage),0.965,444,191
model53,mdl53_jc5_6month,MATRIX,Annualized default probability at the 6-month horizon (percentage),0.965,478,121
model53,mdl53_jc5_7year,MATRIX,Annualized default probability at the 7-year horizon (percentage),0.965,569,181
model53,mdl53_jc6_10year,MATRIX,Annualized default probability at the 10-year horizon (percentage) from the Kamakura Jarrow–Chava v6 model for US issuers,0.9147,185,61
