dataset,field_id,type,description,coverage,alphaCount,userCount
news18,composite_sentiment_score_2,VECTOR,A combined sentiment score for a news story using multiple analysis techniques.,1.0,11,11
news18,corporate_action_sentiment,VECTOR,A sentiment score for news stories about corporate action announcements.,1.0,3,3
news18,earnings_evaluation_sentiment,VECTOR,A sentiment score for news stories about earnings evaluations.,1.0,5,3
news18,editorial_commentary_sentiment_2,VECTOR,A sentiment score for short commentary and editorials on equity markets.,1.0,2,2
news18,entity_country_iso_code_4,VECTOR,The two-letter ISO code representing the country associated with the entity.,1.0,11,11
news18,equity_sentiment_score,VECTOR,A sentiment score indicating the tone of news about global equities.,1.0,5,5
news18,event_end_date_utc,VECTOR,The UTC date when the event concludes.,0.842,44,40
news18,event_end_date_utc_fast_d1,VECTOR,The UTC date when the event concludes.,0.9496,46,42
news18,event_end_time_utc,VECTOR,The UTC timestamp when the event concludes.,0.9507,0,0
news18,event_novelty_score_2,VECTOR,A score indicating how new or unique a news event is within a 24-hour window.,1.0,3,3
news18,event_sentiment_score,VECTOR,A granular score representing the sentiment of a news event.,1.0,3,3
news18,event_start_date_utc,VECTOR,The UTC date when the event begins.,0.9507,43,35
news18,event_start_time_utc,VECTOR,The UTC timestamp when the event begins.,0.842,1,1
news18,event_start_time_utc_fast_d1,VECTOR,The UTC timestamp when the event begins.,0.8403,1,1
news18,global_event_novelty_score_2,VECTOR,A score indicating how novel an event is across all news providers within a 24-hour window.,1.0,3,3
news18,global_novelty_chain_elapsed_ms,VECTOR,Milliseconds elapsed between the first and current event in a global novelty chain.,1.0,23,23
news18,mean_composite_sentiment_score,MATRIX,The average composite sentiment score for news stories.,1.0,26,25
news18,mean_corporate_action_sentiment,MATRIX,The average sentiment score for news about corporate action announcements.,1.0,12,8
news18,mean_earnings_evaluation_sentiment,MATRIX,The average sentiment score for earnings evaluation news stories.,1.0,6,6
news18,mean_editorial_commentary_sentiment,MATRIX,The average sentiment score for editorials and commentary on equity markets.,1.0,17,14
news18,mean_entity_relevance_score,MATRIX,The average relevance score indicating how central an entity is to news stories.,1.0,11,6
news18,mean_equity_sentiment_score,MATRIX,The average sentiment score for news about global equities.,1.0,23,20
news18,mean_event_novelty_score,MATRIX,The average novelty score for events over a specified period.,1.0,11,10
news18,mean_event_sentiment_score,MATRIX,The average sentiment score for events over a specified period.,1.0,8,7
news18,mean_merger_acquisition_sentiment,MATRIX,"The average sentiment score for news about mergers, acquisitions, and takeovers.",1.0,39,25
news18,mean_news_impact_projection,MATRIX,The average projected market impact score for news flashes.,1.0,71,50
news18,merger_acquisition_sentiment,VECTOR,"A sentiment score for news stories about mergers, acquisitions, and takeovers.",1.0,6,5
news18,news_impact_projection_score,VECTOR,A score representing the projected market impact of a news flash.,1.0,4,3
news18,novelty_chain_elapsed_ms,VECTOR,Milliseconds elapsed between the first and current event in a novelty chain.,1.0,27,27
news18,nws18_acb,VECTOR,News sentiment specializing in corporate action announcements,0.903,538,190
news18,nws18_bam,VECTOR,"Mergers and acquisitions sentiment indicator (e.g., -1 negative, 0 neutral, +1 positive)",1.0,1055,408
news18,nws18_bam_fast_d1,VECTOR,"Mergers and acquisitions sentiment indicator (e.g., -1 negative, 0 neutral, +1 positive)",0.8633,7,7
news18,nws18_bee,VECTOR,"Earnings evaluation score indicating positive, neutral, or negative assessment (-1, 0, +1)",1.0,516,259
news18,nws18_bee_fast_d1,VECTOR,"Earnings evaluation score indicating positive, neutral, or negative assessment (-1, 0, +1)",1.0,2,2
news18,nws18_ber,VECTOR,Earnings Release Indicator flag for earnings release events,1.0,615,265
news18,nws18_ber_fast_d1,VECTOR,Earnings Release Indicator flag for earnings release events,0.8633,0,0
news18,nws18_event_relevance,VECTOR,Integer from 0 to 100 indicating the event’s relevance within the story,1.0,935,494
news18,nws18_event_relevance_fast_d1,VECTOR,Integer from 0 to 100 indicating the event’s relevance within the story,0.8607,3,3
news18,nws18_event_similarity_days,VECTOR,"Number of days since a similar event was last detected within the past 365 days, up to 5 decimals",0.8999,623,315
