dataset,field_id,type,description,coverage,alphaCount,userCount,score
analyst4,anl4_adjusted_netincome_ft,MATRIX,Adjusted net income - forecast type (revision/new/...),0.8706,51888,26336,244.68400000000003
socialmedia12,scl12_buzz,MATRIX,relative sentiment volume,1.0,22083,14670,184.3915
option8,implied_volatility_call_270,MATRIX,Implied volatility of the at-the-money call for the stock with an expiration 270 calendar days from the measurement date,0.9729,14480,9737,153.21499999999997
option8,implied_volatility_put_270,MATRIX,Implied volatility of the at-the-money put for the stock with an expiration 270 calendar days from the measurement date,0.9727,13895,9626,152.3475
option9,pcr_oi_270,MATRIX,"Ratio of put open interest to call open interest for options expiring in 270 days, indicating longer-term position skew",0.9838,14126,8956,150.223
analyst4,anl4_ptp_flag,MATRIX,Pretax income - forecast type (revision/new/...),0.8289,26234,10190,146.957
option8,implied_volatility_call_120,MATRIX,Implied volatility of the at-the-money call for the stock with an expiration 120 calendar days from the measurement date,0.9729,13514,6731,137.702
analyst4,anl4_epsr_flag,MATRIX,"GAAP Earnings - estimation type (revision/new/...), per share",0.8742,15123,7360,131.7815
analyst4,anl4_bvps_flag,MATRIX,Book value per share - forecast type (revision/new/...),0.8223,17862,7928,130.801
analyst4,anl4_netdebt_flag,MATRIX,Net debt - forecast type (revision/new/...),0.8602,16615,6743,128.04250000000002
analyst4,anl4_netprofit_flag,MATRIX,Net profit - forecast type (revision/new/...),0.8778,13716,6675,128.013
analyst4,anl4_tbve_ft,MATRIX,Tangible Book Value per Share - forecast type (revision/new/...),0.9305,10582,5617,126.42599999999999
analyst4,anl4_flag_erbfintax,MATRIX,Earnings before interest and taxes - forecast type (revision/new/...),0.8184,12623,6909,122.6965
analyst4,anl4_gric_flag,MATRIX,Gross income - forecast type (revision/new/...),0.8951,10160,5536,122.27000000000001
analyst4,anl4_ebit_value,MATRIX,Earnings before interest and taxes - announced financial value,0.9483,16610,3637,121.32
socialmedia12,snt_buzz,MATRIX,"Negative relative sentiment volume measure for current day, with missing values filled as 0",1.0,9646,3286,121.25300000000001
analyst4,anl4_ptpr_flag,MATRIX,Reported Pretax income - forecast type (revision/new/...),0.9008,10386,5118,120.863
option8,implied_volatility_call_180,MATRIX,Implied volatility of the at-the-money call for the stock with an expiration 180 calendar days from the measurement date,0.9729,7637,3912,120.6685
option8,implied_volatility_call_1080,MATRIX,Implied volatility of the at-the-money call for the stock with an expiration 1080 calendar days from the measurement date,0.9729,8856,3733,120.38299999999998
option8,implied_volatility_call_60,MATRIX,Implied volatility of the at-the-money call for the stock with an expiration 60 calendar days from the measurement date,0.9729,7617,3830,120.24849999999999
option8,implied_volatility_put_120,MATRIX,"At-the-money implied volatility of put options with 120 calendar days to expiration, annualized decimal",0.9727,7676,3687,119.54299999999999
option8,implied_volatility_put_180,MATRIX,"At-the-money implied volatility of put options with 180 calendar days to expiration, annualized decimal",0.9727,6626,3648,118.82300000000001
model51,unsystematic_risk_last_360_days,MATRIX,"The portion of return variance not explained by SPY (idiosyncratic risk), calculated as 1 minus R² over the last 360 calendar days",0.937,12199,3765,118.62450000000001
analyst4,anl4_cff_flag,MATRIX,Cash Flow From Financing Activities - forecast type (revision/new/...),0.8244,8781,6175,117.7055
analyst4,actuals_value_currency_code,MATRIX,Pricing Currency where the security trades,1.0,4274,3003,117.152
socialmedia12,snt_buzz_bfl,MATRIX,"Negative relative sentiment volume measure for current day, with missing values filled as 1",1.0,6118,2743,116.774
option8,implied_volatility_mean_10,MATRIX,The average of IvCall10 and IvPut10,0.9688,7273,2998,115.50649999999999
socialmedia8,snt_social_value,MATRIX,Z-score of sentiment,1.0,5331,2497,115.1505
option8,implied_volatility_put_60,MATRIX,Implied volatility of the at-the-money put for the stock with an expiration 60 calendar days from the measurement date,0.9727,5229,2976,114.7645
analyst4,anl4_totassets_flag,MATRIX,Total Assets - forecast type (revision/new/...),0.8122,13174,5355,114.58200000000001
analyst4,min_adjusted_net_income_guidance,MATRIX,Adjusted net income - minimum guidance value,1.0,3181,2522,114.2005
analyst4,anl4_netprofit_number,MATRIX,Net profit - number of estimations,0.7667,10304,6467,114.15700000000001
option8,parkinson_volatility_120,MATRIX,Historical Parkinson volatility for approximately 120 calendar days,0.9801,4849,2680,113.83449999999999
option8,implied_volatility_call_150,MATRIX,Implied volatility of the at-the-money call for the stock with an expiration 150 calendar days from the measurement date,0.9729,5685,2712,113.6925
socialmedia8,snt_social_volume,MATRIX,Normalized tweet volume,1.0,5181,2205,113.61550000000001
pv13,rel_num_all,MATRIX,number of the companies whose product overlapped with the instrument,0.9939,5393,2134,112.7565
analyst4,anl4_ffo_flag,MATRIX,Funds from Operation - forecast type (revision/new/...),1.0,6302,1734,111.821
option8,implied_volatility_call_10,MATRIX,Implied volatility of the at-the-money call for the stock with an expiration 10 calendar days from the measurement date,0.9729,4802,2392,111.65099999999998
analyst4,anl4_rd_exp_flag,MATRIX,Research and Development Expense - forecast type (revision/new/...),0.9754,4226,2394,111.623
option8,implied_volatility_put_150,MATRIX,"At-the-money implied volatility of put options with 150 calendar days to expiration, annualized decimal",0.9727,4835,2335,111.3625
socialmedia12,snt_buzz_ret,MATRIX,negative return of relative sentiment volume,1.0,4047,1866,111.3535
