dataset,field_id,type,description,coverage,alphaCount,userCount
earnings4,abs_avg_pct_move_announcements_12,MATRIX,"Absolute average percent earnings move across the last 12 earnings announcements, measured at the time of the announcement",0.9692,0,0
earnings4,absolute_average_announcement_percent_move,MATRIX,Absolute average percentage earnings-day price move over the last 12 announcements,0.9693,0,0
earnings4,aggregate_option_open_interest,MATRIX,Total open interest,0.9693,0,0
earnings4,aggregate_option_open_interest_2,VECTOR,Total options open interest,0.9692,0,0
earnings4,announcement_effect_10,MATRIX,The earn effect for earnings date number 10,0.9692,0,0
earnings4,announcement_effect_2,MATRIX,The earn effect for earnings date number 2,0.9692,0,0
earnings4,announcement_effect_3,MATRIX,The earnings effect for earnings date number 3,0.9692,0,0
earnings4,announcement_effect_7,MATRIX,The earn effect for earnings date number7.,0.9692,0,0
earnings4,announcement_effect_8,MATRIX,The earn effect for earnings date number8.,0.9692,0,0
earnings4,announcement_effect_9,MATRIX,The earn effect for earnings date number9.,0.9692,0,0
earnings4,atm_volatility_month1,MATRIX,At-the-money implied volatility for month 1,0.9692,0,0
earnings4,atm_volatility_month2,MATRIX,At-the-money implied volatility for month 2,0.9692,0,0
earnings4,atm_volatility_month3,MATRIX,At-the-money implied volatility for month 3,0.9692,0,0
earnings4,avg_option_volume_20d,MATRIX,Average option volume for all strikes over the last 20 days,0.9692,0,0
earnings4,best_fit_implied_announcement_effect,MATRIX,The implied earnings effect needed to best fit the term structure of monthly implied volatilities (earnings-specific volatility add-on),0.9693,1,1
earnings4,days_to_expiry_month2,MATRIX,Days to expiration for month 2,0.9692,0,0
earnings4,days_to_expiry_month3,MATRIX,Days to expiration for month 3 options,0.9692,0,0
earnings4,eighth_event_option_effect,MATRIX,The earn effect for earnings date number8.,0.9693,0,0
earnings4,eighth_event_straddle_price_percent_of_equity,MATRIX,Straddle or strangle price as a percent of stock price for earnings date number 8,0.9692,0,0
earnings4,eighth_historical_announcement_percent_move,MATRIX,Percentage stock price move on the 8th prior earnings announcement (back 8),0.9693,0,0
earnings4,eighth_historical_straddle_price_percent,MATRIX,Earnings straddle/strangle price as a percentage of stock price for the 8th prior earnings date,0.9693,0,0
earnings4,eleventh_event_option_effect,MATRIX,The earn effect for earnings date number11.,0.9693,0,0
earnings4,eleventh_event_option_effect_2,MATRIX,The earn effect for earnings date number11.,0.9692,0,0
earnings4,eleventh_event_straddle_price_percent_of_equity,MATRIX,Cost of the earnings straddle/strangle as a percent of stock price for earnings event number 11,0.9693,0,0
earnings4,eleventh_historical_announcement_percent_move,MATRIX,The percentage move for earnings date number back11.,0.9693,0,0
earnings4,ern4_1000dclshv,VECTOR,"1000-day close-to-close historical volatility, annualized percent",0.9692,480,157
earnings4,ern4_1000dclshvxern,VECTOR,"1000-day close-to-close historical volatility excluding earnings-day effects, annualized percent",0.9692,77,45
earnings4,ern4_1000dorhv,VECTOR,"1000-day ORATS open-range historical tick volatility (annualized), including earnings days",0.9692,119,52
earnings4,ern4_1000dorhvxern,VECTOR,"1000-day open-range (intraday) historical volatility with earnings days excluded, annualized percent",0.9692,96,34
earnings4,ern4_10dclshv,VECTOR,"10-day close-to-close historical volatility, annualized percent",0.9692,131,51
earnings4,ern4_10dclshvxern,VECTOR,"10-day close-to-close historical volatility excluding earnings-day effects, annualized percent",0.9692,39,23
earnings4,ern4_10dexerniv,VECTOR,10-day constant-maturity implied volatility with earnings effect removed,0.9692,26,17
earnings4,ern4_10div,VECTOR,10-day constant-maturity implied volatility (annualized),0.9692,67,37
earnings4,ern4_10dorhv,VECTOR,"10-day ORATS open-range historical tick volatility (annualized), including earnings days",0.9692,42,25
earnings4,ern4_10dorhvxern,VECTOR,"10-day ORATS open-range historical tick volatility (annualized), excluding the earnings day",0.9692,42,18
earnings4,ern4_120dclshv,VECTOR,"120-day close-to-close historical volatility, annualized percent",0.9692,78,42
earnings4,ern4_120dclshvxern,VECTOR,"120-day close-to-close historical volatility excluding earnings-day effects, annualized percent",0.9692,52,30
earnings4,ern4_120dorhv,VECTOR,"120-day ORATS open-range historical tick volatility (annualized), including earnings days",0.9692,70,41
earnings4,ern4_120dorhvxern,VECTOR,"120-day ORATS open-range historical tick volatility (annualized), excluding the earnings day",0.9692,69,30
earnings4,ern4_20dclshv,VECTOR,"20-day close-to-close historical volatility, annualized percent",0.9692,53,21
earnings4,ern4_20dclshvxern,VECTOR,"20-day close-to-close historical volatility excluding earnings-day effects, annualized percent",0.9692,35,17
earnings4,ern4_20dexerniv,VECTOR,20-day constant-maturity implied volatility with earnings effect removed,0.9692,31,20
earnings4,ern4_20div,VECTOR,"Interpolated implied volatility over 20 calendar days, annualized percent",0.9692,44,32
earnings4,ern4_20dorhv,VECTOR,"20-day ORATS open-range historical tick volatility (annualized), including earnings days",0.9692,60,27
