dataset,field_id,type,description,coverage,alphaCount,userCount,score
pv1,close,MATRIX,Daily close price,1.0,602986,57208,287.8688417042871
pv1,cap,MATRIX,Daily market capitalization (in millions),1.0,426116,35742,282.0452409780711
pv1,returns,MATRIX,Daily returns,1.0,388918,38536,281.5081342356473
pv1,volume,MATRIX,Daily volume,1.0,359894,40025,280.9220986219142
pv1,sector,GROUP,Sector grouping,1.0,387841,28314,279.9392680844937
pv1,subindustry,GROUP,Subindustry grouping,1.0,324715,35081,279.2342796183377
pv1,industry,GROUP,Industry grouping,1.0,276675,31873,277.15375380185213
pv1,market,GROUP,Market grouping,1.0,162658,20403,269.61154383430335
pv1,adv20,MATRIX,Average daily volume in past 20 days,1.0,109445,19760,265.48919344569373
pv1,vwap,MATRIX,Daily volume weighted average price,1.0,72805,20441,261.58227091815564
pv1,high,MATRIX,Daily high price,1.0,60783,15635,258.4374748888383
pv1,open,MATRIX,Daily open price,1.0,59107,13831,257.54491571705086
pv1,low,MATRIX,Daily low price,1.0,53253,14815,256.84559676564373
pv1,exchange,GROUP,Exchange grouping,1.0,50150,2930,248.14343203726187
socialmedia12,scl12_buzz,MATRIX,relative sentiment volume,1.0,22083,14670,247.99422660973755
pv1,sharesout,MATRIX,Daily outstanding shares (in millions),1.0,31681,7036,247.9297258623207
analyst4,anl4_adjusted_netincome_ft,MATRIX,Adjusted net income - forecast type (revision/new/...),0.8706,51888,26336,246.52227137437305
pv1,split,MATRIX,Stock split ratio,1.0,19575,4118,240.4374245234055
pv1,country,GROUP,Country grouping,1.0,20931,3405,240.1568129810341
pv13,pv13_r2_min2_3000_sector,GROUP,grouping fields,1.0,19420,3729,239.8619199014438
pv13,pv13_h_min2_3000_sector,GROUP,grouping fields,1.0,19763,3435,239.62649021517717
option9,pcr_oi_270,MATRIX,"Ratio of put open interest to call open interest for options expiring in 270 days, indicating longer-term position skew",0.9838,14126,8956,239.4393845314926
option8,implied_volatility_call_270,MATRIX,Implied volatility of the at-the-money call for the stock with an expiration 270 calendar days from the measurement date,0.9729,14480,9737,239.01488242699924
option8,implied_volatility_put_270,MATRIX,Implied volatility of the at-the-money put for the stock with an expiration 270 calendar days from the measurement date,0.9727,13895,9626,238.5251977280992
pv1,dividend,MATRIX,Dividend,1.0,12636,4764,236.78910705802832
option8,implied_volatility_call_120,MATRIX,Implied volatility of the at-the-money call for the stock with an expiration 120 calendar days from the measurement date,0.9729,13514,6731,236.47869236365895
pv13,pv13_r2_min20_3000_sector,GROUP,grouping fields,1.0,11680,2818,233.37787614712752
analyst4,anl4_ebit_value,MATRIX,Earnings before interest and taxes - announced financial value,0.9483,16610,3637,233.00415085030116
pv13,pv13_h_min2_focused_pureplay_3000_sector,GROUP,grouping fields,1.0,11474,2435,232.4698234934364
socialmedia12,snt_buzz,MATRIX,"Negative relative sentiment volume measure for current day, with missing values filled as 0",1.0,9646,3286,232.23267552002665
analyst4,anl4_ptp_flag,MATRIX,Pretax income - forecast type (revision/new/...),0.8289,26234,10190,230.7847980453516
